Naam,Productcode,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Korte leverperiode,Lange leverperiode,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
Grog Stronghair 10 EPT Tips,8052440551880,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3064937307b31dd33191ec569ab2e2/original.jpg,0,1,0,10,10,0,10,1,0.00,2.7,,0,0,1,,,,,,,1,0
Grog Flowtex 25 EPT Tips,8052440551873,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/677cc34c33fff1aee55748e319dafb/original.jpg,0,1,0,3,3,0,10,1,0.00,3.4,,0,0,1,,,,,,,1,0
Grog Flowtex 10 EPT Tips,8052440551866,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/2ed273579652db21a56c344f496675/original.jpg,0,1,0,10,10,0,10,1,0.00,2.7,,0,0,1,,,,,,,1,0
Grog Flowtex 05 EPT Tips,8052440551859,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/9aed0e8d5598b0d8c6de271959c37d/original.jpg,0,1,0,13,13,0,10,1,0.00,2.7,,0,0,1,,,,,,,1,0
Grog Quickflow 15 Nibs,8052440552627,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/2f36bac87b634f0bec57e0b161fb39/original.jpg,0,1,0,3,3,0,10,1,0.00,2.7,,0,0,1,,,,,,,1,0
Grog Quickflow 08 Nibs,8052440552191,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,5.00,5.00,0.40,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/96063683aa6128b71f0ce40f022660/original.jpg,0,1,0,5,5,0,10,1,0.00,2.5,,0,0,1,,,,,,,1,0
Grog Squeezer Mini 10mm Empty,8052440552955,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,14.20,3.50,3.50,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/1a8567a5484518a81a0ca8be5b81dc/original.jpg,0,1,0,7,7,0,10,1,0.00,2.2,,0,0,1,,,,,,,1,0
Grog Squeezer 25mm Empty,8052440551132,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,14.20,4.00,4.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/529d306e151a135a9295413fe36d9e/original.jpg,0,1,0,1,1,0,10,1,0.00,2.75,,0,0,1,,,,,,,1,0
Grog Cutter 30mm Empty,8052440552870,Normaal,"Color: GROG BOGOTA WHITE, GROG DEATH BLACK, GROG FLASH YELLOW, GROG CLOCKWORK ORANGE, GROG FERRARI RED, GROG JELLYFISH FUCHSIA, GROG GOLDRAKE PURPLE, GROG ICEBERG BLUE, GROG DIVING BLUE, GROG LASER GREEN, GROG KLONDIKE GOLD, GROG MIAMI GREEN, GROG OBITORY GREEN, GROG PIGGY PINK, GROG SUNRAY YELLOW, GROG BURNING CHROME|large_number: 8020",,,,14.30,4.70,4.70,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/6bb7645f6be64b5efebff151051707/original.jpg,0,1,0,4,4,0,10,1,0.00,3.8,,0,0,1,,,,,,,1,0
Grog Street Killer Ink 200,8052440551095,Normaal,Color: GROG DEATH BLACK|large_number: 8020,,,,14.60,5.10,5.10,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/13e6f7e30eb75eccd57acba73bb682/original.jpg,0,1,0,2,2,0,10,1,0.00,8.9,,0,0,1,,,,,,,1,0
