Intern UUID	Naam	Productcode	Actief	Type	Attributen	Barcode	EAN	ASIN	Tags	Lengte	Breedte	Hoogte	Gewicht	Leverancier	Leverancier productcode	Afbeelding	Extern product	Inkoopbaar	Ongelimiteerde voorraad	Vrije voorraad	Totale voorraad	Gebruik fictieve voorraad	Fictieve voorraad	Gebruik daadwerkelijke voorraad als voorraad onder de volgende drempel komt	Minimale voorraad	Voorraad aanvullen tot	Inkoop veelvoud	Inkoopprijs	Verkoopprijs	Belastingspercentage	Voorraadwaarde	Backorders toestaan	Voorraad bijwerken in verkoopplatformen	Levertijd indien op voorraad	Levertijd indien niet op voorraad	Voorraadlocatie (hoogste prioriteit)	HS-code	Land van oorsprong	Douane - Productbeschrijving (Engels)	Cantastic	Cantastic TEST
	Dope Classic 400ml	5901687941486	1	Normaal	color: D-087 Olive	5901687941486	5901687941486			6	6	18	385	Rabeko	D-087		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941493	1	Normaal	color: D-090 Neutral	5901687941493	5901687941493			6	6	18	385	Rabeko	D-090		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941509	1	Normaal	color: D-091 Mouse	5901687941509	5901687941509			6	6	18	385	Rabeko	D-091		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941516	1	Normaal	color: D-092 Steel	5901687941516	5901687941516			6	6	18	385	Rabeko	D-092		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941523	1	Normaal	color: D-093 Antracite	5901687941523	5901687941523			6	6	18	385	Rabeko	D-093		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941530	1	Normaal	color: D-100 Cocoa	5901687941530	5901687941530			6	6	18	385	Rabeko	D-100		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941578	1	Normaal	color: D-104 Cappuccino	5901687941578	5901687941578			6	6	18	385	Rabeko	D-104		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941547	1	Normaal	color: D-101 Walnut	5901687941547	5901687941547			6	6	18	385	Rabeko	D-101		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941561	1	Normaal	color: D-103 Chocolate	5901687941561	5901687941561			6	6	18	385	Rabeko	D-103		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941585	1	Normaal	color: D-200 White	5901687941585	5901687941585			6	6	18	385	Rabeko	D-200		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941592	1	Normaal	color: D-300 Black	5901687941592	5901687941592			6	6	18	385	Rabeko	D-300		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941608	1	Normaal	color: D-400 Silver Chrome	5901687941608	5901687941608			6	6	18	385	Rabeko	D-400		0	1	0	6	6	0						1.85	3.5	21								PL		1	
	Dope Classic 400ml	5901687941615	1	Normaal	color: D-500 Gold Chrome	5901687941615	5901687941615			6	6	18	385	Rabeko	D-500		0	1	0	6	6	0						1.85	3.5	21								PL		1
