Intern UUID,Naam,Productcode,Actief,Type,Attributen,Barcode,EAN,Tags,Lengte,Breedte,Hoogte,Gewicht,Leverancier,Leverancier productcode,Afbeelding,Extern product,Inkoopbaar,Ongelimiteerde voorraad,Vrije voorraad,Totale voorraad,Gebruik fictieve voorraad,Fictieve voorraad,Gebruik daadwerkelijke voorraad als voorraad onder de volgende drempel komt,Minimale voorraad,Voorraad aanvullen tot,Inkoop veelvoud,Inkoopprijs,Verkoopprijs,Belastingspercentage,Voorraadwaarde,Backorders toestaan,Voorraad bijwerken in verkoopplatformen,Levertijd indien op voorraad,Levertijd indien niet op voorraad,Voorraadlocatie (hoogste prioriteit),HS-code,Land van oorsprong,Douane - Productbeschrijving (Engels),Cantastic,Cantastic TEST
bcf2f9c8-b3bc-49d1-a1a7-517545aeb7fe,Loop Water based Markers 2mm,LPM-002.253,1,Normaal,Color: LP-253 BRESCIA,,8021025022534,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/21a1106e73831cce0a67d102b6300b/original.jpg,0,1,0,2,2,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
ae090907-558f-45b9-8168-52ec536482b3,Loop Water based Markers 2mm,LPM-002.261,1,Normaal,Color: LP-261 FERRARA,,8021025022619,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/ef85a7f82712596712db4ff4f9187b/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
f4b2040b-d4aa-4cde-b44e-5f21ce051d90,Loop Water based Markers 2mm,LPM-002.265,1,Normaal,Color: LP-265 LUCCA,,8021025022657,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/5dedfb15868f063c10de378c6753a0/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
713d93fa-0501-4d2f-a840-ef4cc04ea631,Loop Water based Markers 2mm,LPM-002.314,1,Normaal,Color: LP-314 HAMBURG,,8021025023142,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/fbb098d62c3ee132874822b2f7512c/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
0fa75c63-1f93-45cb-9a81-ad84f545c8df,Loop Water based Markers 2mm,LPM-002.320,1,Normaal,Color: LP-320 STUTTGART,,8021025023203,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/ea60da41f037e8a8e81b1dc55549d6/original.jpg,0,1,0,3,3,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
460b7153-a19e-4d45-bb15-4c0d40401876,Loop Water based Markers 2mm,LPM-002.322,1,Normaal,Color: LP-322 MAINZ,,8021025023227,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/3cd09c47a78bff10847106ab2b3ab6/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
4bbcd485-5d73-482d-a0a7-db75ade61f14,Loop Water based Markers 2mm,LPM-002.359,1,Normaal,Color: LP-359 TAMPA,,8021025023593,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/bdc6bc699c28e216f7387bec03037c/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
88e7731c-ad23-4a90-9fdb-1b64d8ee761a,Loop Water based Markers 2mm,LPM-002.367,1,Normaal,Color: LP-367 BALTIMORE,,8021025023678,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/93ccf5cb51c129297d64fec88c660d/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
00bb5846-2e2a-4719-a829-38067820858a,Loop Water based Markers 2mm,LPM-002.400,1,Normaal,Color: LP-400 SILVER,,8021025024002,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/a32835419f7f37d247495687f309c9/original.jpg,0,1,0,4,4,0,,,0,10,1,0.00,3,,0,0,1,,,,,NL,,1,0
3162d6d3-4919-4e74-ac2a-d5d9e844b97c,HMX Pro Patagonia,2017080186706,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/464584d0446fc2294cc600fb625a4f/original.jpg,0,1,0,8,8,0,,,0,10,1,0.00,10.99,,0,0,1,,,,,,,1,0
08887228-7e3a-4b37-86ff-64867e47cda1,HMX 6 Colors Pro,2017080181909,1,Normaal,large_number: 8020,,,,42.00,30.00,1.00,4,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/1ef81f69e638a2b87a7158d6299222/original.jpg,0,1,0,13,13,0,,,0,10,1,0.00,12.99,,0,0,1,,,,,,,1,0
1cf6af72-95e2-4592-ace1-d96e95cde4be,Mr. Serious 18 pack Shoulder Bag,23301047,1,Normaal,large_number: 8020,,,,0.00,0.00,0.00,0,,,https://s3.eu-central-1.amazonaws.com/goedgepickt/369/c4c1a39ab577de8a838d13adf3bfc4/original.jpg,0,1,0,5,5,0,,,0,10,1,0.00,29.99,,0,0,1,,,,,,,1,0
